gene_id,sample_001,sample_002
CXCL10,104,130
CXCL5,109,113
CXCL1,94,110
CXCL9,109,107
SOCS3,94,114
MMP3,92,128
S100A9,100,128
IL1B,91,118
S100A8,103,95
MMP1,99,120
CHI3L1,104,125
CXCL11,100,121
MMP10,106,104
MMP7,96,129
SAA2,111,120
IDO1,93,123
MMP12,100,112
DUOXA2,104,120
ABCA12,84,110
LCN2,100,102
IGHG1,96,121
DUOX2,80,143
FPR2,95,110
GUCA2B,110,128
AQP9,103,108
SLC6A14,105,104
GBP5,98,105
FCGR3B,97,114
OSM,129,128
TREM1,105,131
CCL20,113,124
GREM1,87,120
IGHG2,102,123
SELE,101,139
GUCA2A,114,115
IGHG3,102,107
NOS2,97,122
UBD,99,128
CXCL13,95,90
CDKN2B-AS1,69,120
FPR1,98,114
IGKV1-9,113,127
FOLH1,103,119
SAA1,96,135
CXCL6,110,116
PNLIPRP2,98,115
COL1A1,109,147
MMP9,107,118
MUC5AC,90,117
PI3,89,109
TNIP3,122,117
PCK1,95,126
CXCL2,123,115
HLA-DQA2,101,109
REG1B,107,100
INHBA,98,134
CXCL3,97,103
IGHG4,81,127
SLC6A19,100,110
CXCR2,92,145
SELL,105,99
PIM2,95,104
CCL18,90,112
IGLV2-23,91,125
FCN1,111,114
RBP2,103,111
IGKV3D-20,103,111
CR2,99,139
AQP8,104,132
IGLV2-14,80,89
ERAP2,108,125
DMBT1,107,111
REG1A,116,140
HOXB13,113,125
BANK1,117,111
MT1H,69,132
CXCR4,92,118
MT1M,90,129
FCGR3A,89,127
CSF2RB,120,112
HLA-DRB5,110,129
IL1RN,103,125
IGKV1-17,102,132
C3,112,111
GSTA1,95,102
CYP4F2,86,115
GBP1,109,125
MS4A1,113,131
TNFAIP6,87,115
CLDN8,114,123
S100P,102,96
CD22,103,108
CDHR1,105,125
CCL19,111,141
HMGCS2,95,114
TNC,89,151
POSTN,104,123
PRKG2,102,107
MUC5B,96,126
SLC13A1,99,121
CDH3,85,119
REG3A,87,122
IGFBP5,111,131
SLC51A,96,124
CCL11,91,123
MEP1B,95,106
CTSK,83,113
TMIGD1,102,112
CCR7,82,135
PLEK,87,98
ALPI,87,139
POU2AF1,116,126
IGHM,94,126
SERPINA3,103,139
