gene,train_mean_pre_zscore,train_std_pre_zscore,std_used,near_zero_std,residualized
CXCL10,2.65289,1.7370962,1.7370962,False,False
CXCL5,1.5942932,2.02044,2.02044,False,False
CXCL1,2.929963,1.7721925,1.7721925,False,False
CXCL9,3.044235,1.9909902,1.9909902,False,False
SOCS3,4.252577,1.6568991,1.6568991,False,False
MMP3,2.1729171,2.0820522,2.0820522,False,False
S100A9,3.0361624,1.9105967,1.9105967,False,False
IL1B,2.4063153,1.6016135,1.6016135,False,False
S100A8,1.5443218,1.7755781,1.7755781,False,False
MMP1,3.1798203,2.0569296,2.0569296,False,False
CHI3L1,1.9178333,2.095986,2.095986,False,False
CXCL11,1.6459721,1.5685574,1.5685574,False,False
MMP10,0.9268889,1.3071897,1.3071897,False,False
MMP7,0.8979677,1.4309185,1.4309185,False,False
SAA2,0.92747694,1.3238494,1.3238494,False,False
IDO1,3.409803,1.9765594,1.9765594,False,False
MMP12,4.4402666,1.7515937,1.7515937,False,False
DUOXA2,2.63456,2.4596567,2.4596567,False,False
ABCA12,1.0214114,1.4835353,1.4835353,False,False
LCN2,5.032092,2.2274675,2.2274675,False,False
IGHG1,7.6971865,2.7379892,2.7379892,False,False
DUOX2,4.8796105,2.7424004,2.7424004,False,False
FPR2,0.8291488,1.2448021,1.2448021,False,False
GUCA2B,5.1698833,1.9126893,1.9126893,False,False
AQP9,0.9199048,1.4858022,1.4858022,False,False
SLC6A14,2.8219988,2.2622092,2.2622092,False,False
GBP5,3.9872615,1.506723,1.506723,False,False
FCGR3B,1.4529608,1.5368558,1.5368558,False,False
OSM,0.9646908,1.2183968,1.2183968,False,False
TREM1,0.81574637,1.2003589,1.2003589,False,False
CCL20,3.9358642,1.6560365,1.6560365,False,False
GREM1,4.5101867,1.8730646,1.8730646,False,False
IGHG2,7.1352825,2.5049078,2.5049078,False,False
SELE,1.1157366,1.365116,1.365116,False,False
GUCA2A,7.5048256,2.0446813,2.0446813,False,False
IGHG3,5.410424,2.765756,2.765756,False,False
NOS2,5.441751,1.9151841,1.9151841,False,False
UBD,4.1192055,2.2160468,2.2160468,False,False
CXCL13,2.0127614,2.0642917,2.0642917,False,False
CDKN2B-AS1,5.024035,1.6577675,1.6577675,False,False
FPR1,1.5015204,1.4449146,1.4449146,False,False
IGKV1-9,4.694907,1.7233119,1.7233119,False,False
FOLH1,1.658818,2.0471492,2.0471492,False,False
